page,production_strengths,astro_strengths,astro_drift_problems,recommended_action,decision,priority,implementation_risk
/,Familiar header background translucent blocks and sequence,Close visual parity with cleaner implementation,Minor typography and spacing differences,Keep as homepage visual reference,keep_as_astro,P1,low
/about/,Linear story and familiar single-wrapper rhythm,Verified cleaned copy and safer claims,Giant blue hero card grid reordered content and public pending governance language,Restore production layout and rhythm while retaining verified corrections,restore_from_production,P1,medium
/inductees/,Familiar five-column gallery and tall portraits,All 150 linked plus accessible archive filter and alt text,Square crops large hero/search panel and public pending labels,Restore portrait ratio spacing and visual restraint; keep links/data/filter,restore_from_production,P1,medium
/inductees/[slug]/,Simple title class portrait and body,Canonical reconciled data responsive layout and complete routes,Huge hero wide prose and public workflow notices,Simplify template constrain prose and remove internal notices,restore_from_production,P1,medium
/inductees/robert_schnabel/,Familiar portrait but incorrect Joe Rossi biography and no archive link,Correct original-source Robert content portrait route and link,One merged paragraph and public source note,Keep Astro content; restore paragraphs and remove source note,keep_as_astro,P0,low
/inductees/gene_rozelle/,Direct legacy page and source spelling Rozelle,Visible archive record canonical route biography portrait and alias,Display spelling conflicts and warning stack,Board decision on spelling; keep route redirects and archive visibility,needs_human_decision,P0,medium
/events/,Familiar post list excerpts and imagery,Clear grouping with plugin clutter removed,Generic cards large hero missing approved gallery imagery,Restore production-like information hierarchy,restore_from_production,P2,medium
/events/golf-tournament/,Familiar flyer and event information order,Valid details safe state logic and no comments/shares,Large hero/cards unclear disabled CTA and duplicated support content,Consolidate states and simplify hierarchy,restore_from_production,P1,medium
/events/induction-banquet/,Familiar inductee imagery and event narrative,Correctly concluded with broken/stale fields removed,Technical migration copy and card-heavy layout,Restore familiar archive presentation and retain removals,restore_from_production,P2,low
/donate/,Straightforward giving choices and support copy,Unsafe payments withheld and purpose categories clarified,Pending trust boxes disabled CTA and premature Sponsor link,Publish approved trust facts and simplify before checkout,needs_human_decision,P1,high
/contact/,Familiar form image and newsletter invitation,No unapproved collection and clear intended topics,No actionable channel and dominant technical notices,Add approved contact path later and simplify presentation,needs_human_decision,P1,high
/privacy-policy/,Existing policy with revision date,Static first-party route,Must reflect actual future practices and integrations,Legal/privacy review before launch,needs_human_decision,P1,high
/terms/,Production route is 404,Astro provides a static route,No production parity and legal approval required,Keep unlinked pending legal review,needs_human_decision,P2,high
/sponsor/,No established primary-nav destination,Future shell exists,Donate promotes unapproved future content,Remove CTA and keep route unadvertised pending approval,remove_from_astro,P2,low
