stable_id,inductee,year_or_era,empty_or_placeholder_source_files,prior_bio_status,reason
jrhof-wp-3050,Bob Mullerberg,Pre 1990,content/Bios/Bob_Mullerberg.docx,incomplete,No readable text in any mapped original biography file.
jrhof-wp-3144,Bob Westhoff,1995,content/Bios/Bob_Westhoff.docx,incomplete,No readable text in any mapped original biography file.
jrhof-wp-3031,Dan Ringsby,2020,content/Bios/Dan_Ringsby.docx,incomplete,No readable text in any mapped original biography file.
jrhof-wp-3104,Del Petersen,2000,content/Bios/Del_Petersen.docx,incomplete,No readable text in any mapped original biography file.
jrhof-wp-3150,Dick Hotton,Pre 1990,content/Bios/Dick_Hotton.docx,incomplete,No readable text in any mapped original biography file.
jrhof-wp-3061,Don Cimaglia,1995,content/Bios/Don_Cimaglia.docx,incomplete,No readable text in any mapped original biography file.
jrhof-wp-3043,Don Hegi,2020,content/Bios/Don_Hegi.docx,incomplete,No readable text in any mapped original biography file.
jrhof-wp-3049,Don Shiverdecker,Pre 1990,content/Bios/Don_Shiverdecker.docx,incomplete,No readable text in any mapped original biography file.
jrhof-wp-3107,Ed Tracy,Pre 1990,content/Bios/Ed_Tracy.docx,incomplete,No readable text in any mapped original biography file.
jrhof-wp-3162,Edmund DHaillecourt,Pre 1990,content/Bios/Edmund_DHaillecourt.docx,incomplete,No readable text in any mapped original biography file.
jrhof-wp-3053,Ernest Cavalieri,1993,content/Bios/Ernest_Cavalieri.docx,incomplete,No readable text in any mapped original biography file.
jrhof-wp-3080,Ervin Douglas,Pre 1990,content/Bios/Ervin_Douglas.docx,incomplete,No readable text in any mapped original biography file.
jrhof-wp-3112,Francis Ford,1992,content/Bios/Francis_Ford.docx,incomplete,No readable text in any mapped original biography file.
jrhof-wp-3143,George Theodore,Pre 1990,content/Bios/George_Theodore.docx,incomplete,No readable text in any mapped original biography file.
jrhof-wp-2980,Joe Bellich,Pre 1990,content/Bios/Joe_Bellich.docx,incomplete,No readable text in any mapped original biography file.
jrhof-wp-3059,Joe Brooks,1992,content/Bios/Joe_Brooks.docx,incomplete,No readable text in any mapped original biography file.
jrhof-wp-2975,John Wenglass,1987,content/Bios/John_Wenglass.docx,incomplete,No readable text in any mapped original biography file.
jrhof-wp-3146,Ken Zetner,Pre 1990,content/Bios/Ken_Zetner.docx,incomplete,No readable text in any mapped original biography file.
jrhof-wp-3093,Lou Nolin,1990,content/Bios/Lou_Nolin.docx,incomplete,No readable text in any mapped original biography file.
jrhof-wp-3135,Lou Spector,Pre 1990,content/Bios/Lou_Spector.docx,incomplete,No readable text in any mapped original biography file.
jrhof-wp-3020,Mark Junge,1991,content/Bios/Mark_Junge.docx,incomplete,No readable text in any mapped original biography file.
jrhof-wp-3117,Nick Vitale,1993,content/Bios/Nick_Vitale.docx,incomplete,No readable text in any mapped original biography file.
jrhof-wp-3006,Sal Salazar,Pre 1990,content/Bios/Sal_Salazar.docx,incomplete,No readable text in any mapped original biography file.
jrhof-wp-3164,Sid Peretti,1995,content/Bios/Sid_Peretti.docx,incomplete,No readable text in any mapped original biography file.
jrhof-wp-2991,Stormy Stucker,Pre 1990,content/Bios/Stormy_Stucker.docx,incomplete,No readable text in any mapped original biography file.
jrhof-wp-2995,Vic Damon,1994,content/Bios/Vic_Damon.docx,incomplete,No readable text in any mapped original biography file.
jrhof-wp-3028,Wiley Chance,1994,content/Bios/Wiley_Chance.docx,incomplete,No readable text in any mapped original biography file.
